INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID9093698	DSSTox_Substance_Id	DTXSID9093698	Bile, extract	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093725	DSSTox_Substance_Id	DTXSID9093725	Jasmine oil	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093727	DSSTox_Substance_Id	DTXSID9093727	Oils, melilot	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093729	DSSTox_Substance_Id	DTXSID9093729	Oils, scotch broom	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90937533	DSSTox_Substance_Id	DTXSID90937533	Dodecahydro[1,2,3]triborolo[4,5-h][1,2,3,4,5,6,7]heptaboronine	C2H12B10	144.22	1.20429e-11	5.12912	-	161.926	0.0406451	2.95916	1.37285	115.83	2.34352	115.346	101.581	0.0902716
DTXSID90937614	DSSTox_Substance_Id	DTXSID90937614	Sodium zirconium(4+) fluoride (2/1/6)	F6Na2Zr	251.194	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093771	DSSTox_Substance_Id	DTXSID9093771	Asafetida	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093773	DSSTox_Substance_Id	DTXSID9093773	Furcellaran	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093775	DSSTox_Substance_Id	DTXSID9093775	Gum benzoin, Siam	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093777	DSSTox_Substance_Id	DTXSID9093777	Aminotransferase, alanine	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093779	DSSTox_Substance_Id	DTXSID9093779	Arginase	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093800	DSSTox_Substance_Id	DTXSID9093800	Neuraminidase	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093804	DSSTox_Substance_Id	DTXSID9093804	Kinase (phosphorylating), phosphoglycerate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093806	DSSTox_Substance_Id	DTXSID9093806	Oxidase, xanthine	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093808	DSSTox_Substance_Id	DTXSID9093808	Cellulose, 2-cyanoethyl ether	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093850	DSSTox_Substance_Id	DTXSID9093850	Benzenesulfonic acid, hydroxy-, sodium salt (1:1), polymer with formaldehyde	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093856	DSSTox_Substance_Id	DTXSID9093856	Microbial aspartic proteinases	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093931	DSSTox_Substance_Id	DTXSID9093931	2-Propenoic acid, polymer with ammonium 2-propenoate (1:1)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093939	DSSTox_Substance_Id	DTXSID9093939	Cellulose, carboxymethyl 2-hydroxyethyl ether, sodium salt	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093981	DSSTox_Substance_Id	DTXSID9093981	C.I. Leuco Sulphur Green 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093983	DSSTox_Substance_Id	DTXSID9093983	Cyclohexanone, peroxide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093985	DSSTox_Substance_Id	DTXSID9093985	Aluminum hydroxide silicate (Al2(OH)4(Si2O5))	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9093989	DSSTox_Substance_Id	DTXSID9093989	Silicic acid, lithium salt	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094030	DSSTox_Substance_Id	DTXSID9094030	Silanediol, 1,1-dimethyl-, sodium salt (1:2)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094032	DSSTox_Substance_Id	DTXSID9094032	Silanediol, 1,1-dimethyl-, potassium salt (1:2)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094080	DSSTox_Substance_Id	DTXSID9094080	1-Octene, homopolymer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094082	DSSTox_Substance_Id	DTXSID9094082	2-Propenoic acid, 2-methyl-, polymer with dodecyl 2-methyl-2-propenoate, methyl 2-methyl-2-propenoate and 2-oxiranylmethyl 2-methyl-2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094084	DSSTox_Substance_Id	DTXSID9094084	2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethenyl acetate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094088	DSSTox_Substance_Id	DTXSID9094088	2-Propenoic acid, polymer with butyl 2-propenoate and ethenyl acetate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094111	DSSTox_Substance_Id	DTXSID9094111	2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethyl 2-propenoate and 2-oxiranylmethyl 2-methyl-2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094119	DSSTox_Substance_Id	DTXSID9094119	2-Propenoic acid, polymer with ethenyl acetate and methyl 2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094161	DSSTox_Substance_Id	DTXSID9094161	2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate, N-(hydroxymethyl)-2-propenamide and methyl 2-methyl-2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094163	DSSTox_Substance_Id	DTXSID9094163	2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate and N-(hydroxymethyl)-2-propenamide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094167	DSSTox_Substance_Id	DTXSID9094167	2-Propenoic acid, homopolymer, lithium salt	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90942268	DSSTox_Substance_Id	DTXSID90942268	Chromium(3+) trioctanoate	C24H45CrO6	481.614	1.12916e-11	3.7792	4.9798	238.954	1.04792e-06	0.177795	6.24209	110.089	-1.03958	216.414	0.00370176	0.00525666
DTXSID9094240	DSSTox_Substance_Id	DTXSID9094240	Formaldehyde, polymer with 6-phenyl-1,3,5-triazine-2,4-diamine	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094242	DSSTox_Substance_Id	DTXSID9094242	Sulfuric acid, monoethenyl ester, potassium salt (1:1), homopolymer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094246	DSSTox_Substance_Id	DTXSID9094246	2-Propenoic acid, dodecyl ester, homopolymer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90942526	DSSTox_Substance_Id	DTXSID90942526	2-(Chloromethyl)oxirane--1,3,5,7-tetraazatricyclo[3.3.1.1~3,7~]decane (1/1)	C9H17ClN4O	232.71	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094290	DSSTox_Substance_Id	DTXSID9094290	2-Propenoic acid, 2-methyl-, 2-hydroxyethyl ester, polymer with ethenylbenzene and methyl 2-methyl-2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094294	DSSTox_Substance_Id	DTXSID9094294	2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,3-butadiene, ethenylbenzene and 2-propenoic acid	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094296	DSSTox_Substance_Id	DTXSID9094296	1,4-Benzenedicarboxylic acid, polymer with 1,3-propanediol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094298	DSSTox_Substance_Id	DTXSID9094298	Guanidine, N-cyano-, polymer with formaldehyde	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094321	DSSTox_Substance_Id	DTXSID9094321	2-Propenoic acid, 2-methyl-, 2-oxiranylmethyl ester, polymer with chloroethene and ethenyl acetate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094325	DSSTox_Substance_Id	DTXSID9094325	Formaldehyde, polymer with 4-(1,1-dimethylethyl)phenol, magnesium salt	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094327	DSSTox_Substance_Id	DTXSID9094327	1,3-Benzenedicarboxylic acid, polymer with 2,2-dimethyl-1,3-propanediol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094329	DSSTox_Substance_Id	DTXSID9094329	Phenol, polymer with 1,4-bis(methoxymethyl)benzene	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094371	DSSTox_Substance_Id	DTXSID9094371	Nonanedioic acid, polymer with 1,6-hexanediamine	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094373	DSSTox_Substance_Id	DTXSID9094373	2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate, methyl 2-methyl-2-propenoate and methyl 2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094375	DSSTox_Substance_Id	DTXSID9094375	2-Propenoic acid, butyl ester, polymer with N-(hydroxymethyl)-2-propenamide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094379	DSSTox_Substance_Id	DTXSID9094379	2,5-Furandione, polymer with 1,3-butadiene and ethenylbenzene	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094406	DSSTox_Substance_Id	DTXSID9094406	Furan, tetrahydro-, polymer with oxirane	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094408	DSSTox_Substance_Id	DTXSID9094408	1,2-Ethanediamine, N1,N2-bis(2-aminoethyl)-, polymer with 2-(chloromethyl)oxirane	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90944262	DSSTox_Substance_Id	DTXSID90944262	2-Methylheptadecanoic acid--2-(2-aminoethoxy)ethan-1-ol (1/1)	C22H47NO4	389.621	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094450	DSSTox_Substance_Id	DTXSID9094450	2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate, 2-hydroxypropyl 2-methyl-2-propenoate and methyl 2-methyl-2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094458	DSSTox_Substance_Id	DTXSID9094458	Oxirane, 2-(chloromethyl)-, polymer with ammonia	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90944621	DSSTox_Substance_Id	DTXSID90944621	Europium(2+) diiodide	EuI2	405.773	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094531	DSSTox_Substance_Id	DTXSID9094531	2-Propen-1-amine, N-methyl-N-2-propen-1-yl-, hydrochloride (1:1), homopolymer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094535	DSSTox_Substance_Id	DTXSID9094535	Formaldehyde, polymer with 1,3-dimethylbenzene and phenol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094537	DSSTox_Substance_Id	DTXSID9094537	2-Propenoic acid, 2-methyl-, polymer with ethenyl acetate, ethyl 2-propenoate, N-(hydroxymethyl)-2-propenamide and 2-propenenitrile	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094581	DSSTox_Substance_Id	DTXSID9094581	2-Propenoic acid, 2-methyl-, polymer with 1,3-butadiene, ethenylbenzene and N-(hydroxymethyl)-2-propenamide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094589	DSSTox_Substance_Id	DTXSID9094589	2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethyl 2-propenoate, N-(hydroxymethyl)-2-propenamide and 2-propenoic acid	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90946084	DSSTox_Substance_Id	DTXSID90946084	2-[2-(1-Phenyl-1H-pyrazol-4-yl)ethenyl]-1,3-di(prop-2-en-1-yl)-1H-imidazo[4,5-b]quinoxalin-3-ium iodide	C26H23IN6	546.416	8.64091e-11	106.313	9.23498	327.705	1.46145e-06	2.14825	11.6774	46396.9	2.08083	195.853	4.32484e-09	2.80047e-06
DTXSID9094610	DSSTox_Substance_Id	DTXSID9094610	2-Propenoic acid, 2-methyl-, 2-oxiranylmethyl ester, polymer with 2-ethylhexyl 2-propenoate, methyl 2-propenoate and 2-propenoic acid	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094612	DSSTox_Substance_Id	DTXSID9094612	2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1-ethenyl-2-pyrrolidinone and ethyl 2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094614	DSSTox_Substance_Id	DTXSID9094614	1,4-Benzenedicarboxylic acid, 1,4-dimethyl ester, polymer with 1,2-ethanediol and hexanedioic acid	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094660	DSSTox_Substance_Id	DTXSID9094660	1,2-Propanediol, polymer with 2-(chloromethyl)oxirane	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094664	DSSTox_Substance_Id	DTXSID9094664	2-Propenoic acid, polymer with butyl 2-propenoate, ethyl 2-propenoate, N-(hydroxymethyl)-2-propenamide and 2-propenenitrile	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094668	DSSTox_Substance_Id	DTXSID9094668	2-Propenenitrile, polymer with ethene, ethenylbenzene and 1-propene	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90947314	DSSTox_Substance_Id	DTXSID90947314	{(Propane-2,2-diyl)bis[(4,1-phenylene)oxy]propane-1,2-diyl} bis(2-methylprop-2-enoate)	C29H36O6	480.601	8.64249e-11	224.117	5.7011	424.844	6.4577e-08	7.01807	11.683	104967.0	6.39816	43.1747	7.77395e-10	1.8131e-07
DTXSID9094743	DSSTox_Substance_Id	DTXSID9094743	2-Propenoic acid, polymer with butyl 2-propenoate, ethenylbenzene and 2-methyl-2-propenamide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094745	DSSTox_Substance_Id	DTXSID9094745	1-Propene, 1,1,2,3,3,3-hexafluoro-, polymer with ethene and 1,1,2,2-tetrafluoroethene	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094747	DSSTox_Substance_Id	DTXSID9094747	2-Propenoic acid, 2-hydroxyethyl ester, polymer with formaldehyde and 1,3,5-triazine-2,4,6-triamine	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094749	DSSTox_Substance_Id	DTXSID9094749	2-Propenoic acid, polymer with 2-ethylhexyl 2-propenoate and methyl 2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90947839	DSSTox_Substance_Id	DTXSID90947839	2-(Chloromethyl)oxirane--oxirane (1/1)	C5H9ClO2	136.58	4.4565e-13	9.75404	4.11432	116.413	6.91706e-05	0.0878693	2.83005	9.99986	1.32652	46.7058	16.5413	0.71112
DTXSID90947854	DSSTox_Substance_Id	DTXSID90947854	Prop-2-enimidic acid--ethenylbenzene (1/1)	C11H13NO	175.231	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90947899	DSSTox_Substance_Id	DTXSID90947899	Propane-1,2,3-triol--2-(chloromethyl)oxirane (1/1)	C6H13ClO4	184.62	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90947910	DSSTox_Substance_Id	DTXSID90947910	2-Propenoic acid, 2-methyl-, polymer with 2-chloro-1,3-butadiene	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094793	DSSTox_Substance_Id	DTXSID9094793	Potassium polysulfide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094797	DSSTox_Substance_Id	DTXSID9094797	Lignosulfonic acid, sodium salt, polymer with formaldehyde and phenol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90948068	DSSTox_Substance_Id	DTXSID90948068	4-Butoxy-4-oxobut-2-enoic acid--ethenylbenzene (1/1)	C16H20O4	276.332	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90948144	DSSTox_Substance_Id	DTXSID90948144	Prop-2-enoic acid--methyl prop-2-enoate (1/1)	C7H10O4	158.153	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094820	DSSTox_Substance_Id	DTXSID9094820	Lignosulfonic acid, potassium salt	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094828	DSSTox_Substance_Id	DTXSID9094828	2-Oxepanone, polymer with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90948568	DSSTox_Substance_Id	DTXSID90948568	Ethyl 2-methylprop-2-enoate--methyl 2-methylprop-2-enoate (1/1)	C11H18O4	214.261	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094870	DSSTox_Substance_Id	DTXSID9094870	Titanium tungsten carbide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90948720	DSSTox_Substance_Id	DTXSID90948720	Acetic acid ethenyl ester, polymer with oxirane	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094876	DSSTox_Substance_Id	DTXSID9094876	Oxirane, 2-ethyl-, polymer with oxirane, monododecyl ether	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094878	DSSTox_Substance_Id	DTXSID9094878	1,3-Propanediol, 2-ethyl-2-(hydroxymethyl)-, polymer with 1,3-bis(isocyanatomethyl)cyclohexane	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90948861	DSSTox_Substance_Id	DTXSID90948861	2-Methylidenebutanedioic acid--prop-2-enoic acid (1/1)	C8H10O6	202.162	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90948881	DSSTox_Substance_Id	DTXSID90948881	2-Methyl-1,3-di(prop-2-en-1-yl)-1H-imidazo[4,5-b]quinoxalin-3-ium 4-methylbenzene-1-sulfonate	C23H24N4O3S	436.53	5.91353e-11	12.808	4.24939	332.556	1.42728e-06	1.27542	9.46023	2543.12	0.815678	160.579	1.36396e-07	0.00156716
DTXSID9094903	DSSTox_Substance_Id	DTXSID9094903	2-Propenoic acid, 2-methyl-, 2-hydroxyethyl ester, polymer with 2-hydroxyethyl 2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90949212	DSSTox_Substance_Id	DTXSID90949212	Butyl prop-2-enoate--ethyl prop-2-enoate (1/1)	C12H20O4	228.288	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90949414	DSSTox_Substance_Id	DTXSID90949414	Tris(4-nonylphenyl) phosphate	C45H69O4P	705.017	2.94338e-11	50.25	136.54	473.925	4.37944e-07	0.749102	11.6728	66396.6	7.88047	87.2127	2.10326e-09	1.19705e-06
DTXSID90949419	DSSTox_Substance_Id	DTXSID90949419	Ethyl 2-methylprop-2-enoate--methyl prop-2-enoate (1/1)	C10H16O4	200.234	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90949479	DSSTox_Substance_Id	DTXSID90949479	Prop-2-enoic acid--2-(dimethylamino)ethyl 2-methylprop-2-enoate (1/1)	C11H19NO4	229.276	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9094957	DSSTox_Substance_Id	DTXSID9094957	Aminolignin	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90949575	DSSTox_Substance_Id	DTXSID90949575	Butyl prop-2-enoate--2-ethylhexyl prop-2-enoate (1/1)	C18H32O4	312.45	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90949717	DSSTox_Substance_Id	DTXSID90949717	Butyl hydrogen carbonimidate--formaldehyde (1/1)	C6H13NO3	147.174	1.83118e-11	3.19659	4.63954	319.547	5.55307e-09	0.0832873	6.95932	15.0792	1.24856	125.894	0.00199382	0.0568634
DTXSID90949818	DSSTox_Substance_Id	DTXSID90949818	Sodium oxoacetate	C2HNaO3	96.017	1.65317e-12	4.16874	4.44971	180.246	3.16068e-08	0.226462	3.66435	9.68709	-0.771139	203.098	8.11365	4.154
DTXSID90949954	DSSTox_Substance_Id	DTXSID90949954	Sodium sulfate--1-[(octadec-9-en-1-yl)oxy]octadec-9-ene (2/1/1)	C36H70Na2O5S	660.99	1.57944e-10	50.6121	47.676	487.45	8.019e-07	1.5543	11.6766	20386.7	3.31656	111.919	2.46444e-11	6.36662e-09
DTXSID9095000	DSSTox_Substance_Id	DTXSID9095000	2-Propenoic acid, polymer with butyl 2-propenoate, ethenylbenzene, N-(hydroxymethyl)-2-propenamide and 2-propenenitrile	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90950040	DSSTox_Substance_Id	DTXSID90950040	5,5,5-Trifluoronorvaline	C5H8F3NO2	171.119	8.07509e-12	5.40751	3.56038	175.049	5.67085e-10	0.092001	6.98375	30.3844	1.01948	162.345	0.0589118	1.12334
DTXSID9095008	DSSTox_Substance_Id	DTXSID9095008	Formaldehyde, polymer with 1,3-benzenedimethanamine and phenol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90950429	DSSTox_Substance_Id	DTXSID90950429	Sodium sulfate--1-(tetradecyloxy)tetradecane (2/1/1)	C28H58Na2O5S	552.81	1.66262e-11	121.878	120.127	442.758	7.06411e-07	1.45154	11.6926	10164.1	3.31456	111.664	5.83673e-10	1.51696e-07
DTXSID9095056	DSSTox_Substance_Id	DTXSID9095056	2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester, polymer with butyl 2-propenoate, methyl 2-methyl-2-propenoate and 2-propenoic acid	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90950585	DSSTox_Substance_Id	DTXSID90950585	Palladium(2+) sulfate--ethane-1,2-diamine (1/1/2)	C4H16N4O4PdS	322.68	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90950904	DSSTox_Substance_Id	DTXSID90950904	Sodium abieta-8,11,13-trien-18-oate	C20H27NaO2	322.424	1.72209e-11	131.673	58.4154	337.013	1.0143e-09	3.00263	11.0886	6185.01	4.51961	173.197	9.99392e-08	2.20377e-05
DTXSID90951032	DSSTox_Substance_Id	DTXSID90951032	Sodium 2,5-di(propan-2-yl)benzene-1-sulfonate 3,4-di(propan-2-yl)benzene-1-sulfonate (2/1/1)	C24H34Na2O6S2	528.63	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9095135	DSSTox_Substance_Id	DTXSID9095135	Peanut oil, sulfated, sodium salt	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9095139	DSSTox_Substance_Id	DTXSID9095139	Naphthenic acids, barium salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9095181	DSSTox_Substance_Id	DTXSID9095181	Fatty acids, castor-oil, diesters with polyethylene glycol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9095185	DSSTox_Substance_Id	DTXSID9095185	Fatty acids, soya, ethoxylated	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9095187	DSSTox_Substance_Id	DTXSID9095187	Amines, rosin, ethoxylated	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9095189	DSSTox_Substance_Id	DTXSID9095189	Soybean oil, ethoxylated	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90951936	DSSTox_Substance_Id	DTXSID90951936	Nonanedioic acid--propane-1,2-diol (1/1)	C12H24O6	264.318	5.3893e-12	2.86949	7.50119	319.084	6.29433e-10	0.280611	7.93158	221.956	0.882067	134.389	1.08898e-08	0.0128572
DTXSID9095214	DSSTox_Substance_Id	DTXSID9095214	2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, methyl 2-methyl-2-propenoate and 2-propenoic acid, ammonium salt	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9095216	DSSTox_Substance_Id	DTXSID9095216	2-Propenoic acid, polymer with butyl 2-propenoate, ethenyl acetate and 2-hydroxyethyl 2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9095218	DSSTox_Substance_Id	DTXSID9095218	Formaldehyde, polymer with 3-methylphenol, 6-diazo-5,6-dihydro-5-oxo-1-naphthalenesulfonate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90952387	DSSTox_Substance_Id	DTXSID90952387	4-Ethenylbenzene-1-sulfonic acid--ammonia (1/1)	C8H11NO3S	201.24	1.928e-11	6.35589	4.91267	319.726	1.3565e-08	0.147735	8.35026	224.191	-1.57151	78.8259	8.01901e-07	1.1169
DTXSID90952423	DSSTox_Substance_Id	DTXSID90952423	N-(3-Chloro-2-hydroxypropyl)-N,N-dimethyloctadecan-1-aminium chloride	C23H49Cl2NO	426.55	1.66702e-11	354.369	13.8156	350.963	5.46378e-08	0.757972	10.5181	10183.8	2.43637	143.68	1.33108e-07	2.0986e-06
DTXSID9095262	DSSTox_Substance_Id	DTXSID9095262	2-Propenoic acid, 2-methyl-, 2-oxiranylmethyl ester, polymer with ethenyl acetate, 2-ethylhexyl 2-propenoate and 2-hydroxyethyl 2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9095264	DSSTox_Substance_Id	DTXSID9095264	2-Propenoic acid, polymer with ethenyl acetate, 2-ethylhexyl 2-propenoate and methyl 2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90952867	DSSTox_Substance_Id	DTXSID90952867	Sodium 3-{4-[(4-amino-3-methylphenyl)(4-anilinophenyl)hydroxymethyl]anilino}benzene-1-sulfonate	C32H28N3NaO4S	573.64	2.95663e-11	13.1129	121.293	494.985	1.61123e-11	0.200393	9.5384	148754.0	3.67275	201.309	8.02779e-10	1.07609e-06
DTXSID9095343	DSSTox_Substance_Id	DTXSID9095343	2-Propenoic acid, 2-methyl-, butyl ester, polymer with butyl 2-propenoate, ethenylbenzene, methyl 2-methyl-2-propenoate, 1,2-propanediol mono-2-propenoate and 2-propenoic acid	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9095349	DSSTox_Substance_Id	DTXSID9095349	1,3-Benzenedicarboxylic acid, polymer with 2,2-dimethyl-1,3-propanediol, hexanedioic acid and 1,3-isobenzofurandione	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9095395	DSSTox_Substance_Id	DTXSID9095395	Hexanedioic acid, polymer with 2,5-furandione and 1,2-propanediol, 2-ethylhexyl ester	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9095424	DSSTox_Substance_Id	DTXSID9095424	2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene and N-(hydroxymethyl)-2-methyl-2-propenamide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90954245	DSSTox_Substance_Id	DTXSID90954245	Copper(2+) bis(1,3-benzothiazole-2-thiolate)	C14H8CuN2S4	396.02	2.6243e-11	7.96072	12.9691	289.391	8.6846e-06	0.110826	5.72849	178.154	-1.80655	203.423	4.30797e-06	0.00067306
