INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID9050486	DSSTox_Substance_Id	DTXSID9050486	Limestone	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9050488	DSSTox_Substance_Id	DTXSID9050488	Calcium magnesium hydroxide oxide	CaH2MgO3	114.396	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051240	DSSTox_Substance_Id	DTXSID9051240	Fatty acids, C 8-18 and C18-unsaturated compounds with diethanolamine	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051242	DSSTox_Substance_Id	DTXSID9051242	Tryptone	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051244	DSSTox_Substance_Id	DTXSID9051244	Ammonium bisulfate	H5NO4S	115.1	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051248	DSSTox_Substance_Id	DTXSID9051248	Lavandin oil	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051294	DSSTox_Substance_Id	DTXSID9051294	Barium peroxide	BaO2	169.325	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051296	DSSTox_Substance_Id	DTXSID9051296	Sodium sulfide [Na2(Sx)]	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051321	DSSTox_Substance_Id	DTXSID9051321	C.I. Pigment Red 104	CrH6MoO12Pb3S	999.6	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051456	DSSTox_Substance_Id	DTXSID9051456	Antimony oxide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051458	DSSTox_Substance_Id	DTXSID9051458	Vitamin E (mixture of tocopherols and tocotrienols)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051610	DSSTox_Substance_Id	DTXSID9051610	Tincalconite (B4Na2O7.5H2O)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051612	DSSTox_Substance_Id	DTXSID9051612	Zinc iron oxide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051614	DSSTox_Substance_Id	DTXSID9051614	Magnesium ferrite	Fe2MgO4	199.991	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051660	DSSTox_Substance_Id	DTXSID9051660	Manganese(II,III), oxide	Mn3O4	228.81	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051747	DSSTox_Substance_Id	DTXSID9051747	Methyl (Z,Z)-8,8-dibutyl-3,6,10-trioxo-2,7,9-trioxa-8-stannatrideca-4,11-dien-13-oate	C18H28O8Sn	491.124	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051749	DSSTox_Substance_Id	DTXSID9051749	Butyl (2Z,9Z)-6,6-dibutyl-4,8,11-trioxo-5,7,12-trioxa-6-stannahexadeca-2,9-dien-1-oate	C24H40O8Sn	575.286	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9051953	DSSTox_Substance_Id	DTXSID9051953	Dibutyltin bis(2-ethylhexanoate)	C24H48O4Sn	519.354	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9052008	DSSTox_Substance_Id	DTXSID9052008	(6-Cumene)(5-cyclopentadienyl)iron(II) hexafluorophosphate	C14H17F6FeP	386.099	6.53573e-12	35.7321	14.9574	152.541	0.0113666	0.367084	3.99095	521.484	0.717118	159.147	4.46709	0.000521787
DTXSID9052268	DSSTox_Substance_Id	DTXSID9052268	Aluminium trioctanoate	C24H45AlO6	456.6	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9052474	DSSTox_Substance_Id	DTXSID9052474	Neodymium tris(2-ethylhexanoate)	C24H45NdO6	573.86	1.13746e-11	3.74133	4.78286	227.885	8.31926e-07	0.0724892	6.00196	66.4852	-1.15896	209.703	0.0301776	0.0138561
DTXSID9052761	DSSTox_Substance_Id	DTXSID9052761	2-Dodecylbenzenesulfonic acid- n-(2-aminoethyl)ethane-1,2-diamine(1:1)	C22H43N3O3S	429.66	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9052769	DSSTox_Substance_Id	DTXSID9052769	Polyoxyl 15 hydroxystearate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9052842	DSSTox_Substance_Id	DTXSID9052842	Quaternary ammonium compounds, tri-C8-10-alkylmethyl, chlorides	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9057717	DSSTox_Substance_Id	DTXSID9057717	(R,S)-Epinephrine hydrochloride	C9H14ClNO3	219.67	1.62506e-11	6.55421	2.55056	297.275	3.61854e-11	0.208386	8.40367	199.965	-1.51673	198.452	1.49932e-07	0.0365631
DTXSID9058153	DSSTox_Substance_Id	DTXSID9058153	Fentin	C18H15Sn	350.027	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90583413	DSSTox_Substance_Id	DTXSID90583413	4-((Perfluorohexyl)ethyl)phenylmethanol	C15H11F13O	454.231	1.64904e-11	366.687	3.556	179.926	1.52874e-06	2.7101	8.38185	13568.2	7.92941	39.8644	1.35579e-07	8.42243e-06
DTXSID9058787	DSSTox_Substance_Id	DTXSID9058787	Aluminum, trimethyl-	C3H9Al	72.087	-	-	-	-	-	-	-	-	-	-	-	-
